,coin,buy_date,buy,sell_date,sell,profit,profit_rate
8,ONT,2021-11-04,1350.675,2021-11-17,1234.3825000000002,-116.29249999999979,-0.08609954282118185
0,ZIL,2020-12-24,66.53325,2021-01-05,78.96050000000001,12.427250000000015,0.18678254857533663
1,ZIL,2021-02-09,109.05449999999999,2021-02-24,127.936,18.881500000000017,0.17313820154143128
2,ZIL,2021-03-11,203.1015,2021-04-10,273.863,70.76150000000001,0.3484046154262771
3,ZIL,2021-08-11,121.06049999999999,2021-08-30,125.93700000000001,4.876500000000021,0.04028151213649392
4,ZIL,2021-09-04,146.07299999999998,2021-09-07,121.93900000000001,-24.133999999999972,-0.16521876048277215
5,ZIL,2021-10-25,134.06699999999998,2021-10-30,120.93950000000001,-13.12749999999997,-0.09791745918085712
0,POLYX,2021-01-01,108.05399999999999,2021-01-11,95.5522,-12.501799999999989,-0.11569955762859302
1,POLYX,2021-02-04,124.062,2021-03-26,654.6725,530.6105,4.276978446260741
2,POLYX,2021-03-29,790.395,2021-05-13,431.78400000000005,-358.61099999999993,-0.45371111912398226
3,POLYX,2021-07-25,258.12899999999996,2021-09-14,872.5635000000001,614.4345000000001,2.380338900317284
4,POLYX,2021-10-03,1015.5074999999999,2021-10-14,934.5325,-80.97499999999991,-0.07973845589520502
5,POLYX,2021-11-15,909.4544999999999,2021-12-03,877.561,-31.893499999999904,-0.035068824223751606
0,ZRX,2021-01-05,498.24899999999997,2021-01-22,563.7180000000001,65.46900000000011,0.1313981563435152
1,ZRX,2021-01-31,775.3874999999999,2021-02-19,1819.0900000000001,1043.7025000000003,1.346039883284165
2,ZRX,2021-03-18,1765.8825,2021-04-07,2223.8875000000003,458.00500000000034,0.2593632362289112
3,ZRX,2021-07-31,947.4735,2021-08-25,1344.3275,396.85400000000016,0.4188549864455314
4,ZRX,2021-09-04,1450.725,2021-09-07,1229.385,-221.33999999999992,-0.15257198986713535
5,ZRX,2021-10-09,1365.6825,2021-10-15,1264.3675,-101.31499999999983,-0.07418635004841889
6,ZRX,2021-10-30,1365.6825,2021-11-17,1414.2925,48.61000000000013,0.03559392464939701
0,LOOM,2021-01-02,35.51775,2021-01-29,69.965,34.447250000000004,0.9698601403523591
1,LOOM,2021-02-10,83.64179999999999,2021-02-24,130.9345,47.292700000000025,0.565419443388354
2,LOOM,2021-03-13,196.09799999999998,2021-03-24,190.9045,-5.193499999999972,-0.026484206876153618
3,LOOM,2021-03-29,230.11499999999998,2021-04-08,245.877,15.762000000000029,0.06849618668926419
4,LOOM,2021-07-29,107.0535,2021-08-31,120.93950000000001,13.88600000000001,0.12971084551182363
5,LOOM,2021-09-03,141.07049999999998,2021-09-08,127.936,-13.134499999999974,-0.09310592930485095
6,LOOM,2021-10-08,159.0795,2021-10-16,132.9335,-26.145999999999987,-0.16435807253605894
7,LOOM,2021-11-03,141.07049999999998,2021-12-02,143.928,2.857500000000016,0.020255829532042604
0,BCH,2021-01-03,483241.5,2021-01-13,549924.9,66683.40000000002,0.13799187362840323
1,BCH,2021-02-09,538769.25,2021-02-25,573113.3,34344.05000000005,0.06374537893541632
2,BCH,2021-03-13,685842.75,2021-04-23,998400.55,312557.80000000005,0.4557280805257474
3,BCH,2021-05-05,1825412.25,2021-05-16,1454272.5,-371139.75,-0.2033183189167269
4,BCH,2021-08-13,758679.1499999999,2021-08-24,749525.05,-9154.09999999986,-0.012065838371859648
5,BCH,2021-09-05,874437.0,2021-09-09,797101.25,-77335.75,-0.08844061950718005
6,BCH,2021-11-09,866132.85,2021-11-18,686556.55,-179576.29999999993,-0.20733112708979914
0,BAT,2021-01-06,279.1395,2021-02-01,342.8285,63.68900000000002,0.22816190471072714
