,Unnamed: 0,coin,buy_date,buy,sell_date,sell,profit,profit_rate
122,1,EOS,2020-04-29,3601.8,2020-05-08,3338.3300000000004,-263.46999999999935,-0.0731495363429394
123,2,EOS,2020-06-01,3346.6725,2020-07-06,3088.4550000000004,-258.2174999999993,-0.0771564890200637
124,3,EOS,2020-07-25,3231.615,2020-08-07,3573.2125,341.5975000000003,0.1057048874943334
125,4,EOS,2020-08-15,4357.1775,2020-08-24,3998.0,-359.1774999999998,-0.0824335249137772
126,5,EOS,2020-11-17,2971.485,2020-12-04,3138.4300000000003,166.94500000000062,0.0561823465371693
127,0,TRX,2020-01-12,16.90845,2020-02-16,26.1869,9.278450000000005,0.5487463368907265
128,1,TRX,2020-04-24,16.90845,2020-05-11,17.091450000000002,0.1830000000000033,0.0108229908714283
129,2,TRX,2020-05-30,19.70985,2020-06-13,20.08995,0.3801000000000023,0.0192847738567265
130,3,TRX,2020-07-06,21.2106,2020-07-16,20.589700000000004,-0.6208999999999953,-0.0292730992994066
131,4,TRX,2020-07-25,22.11105,2020-08-07,23.588200000000004,1.4771500000000053,0.0668059635340703
132,5,TRX,2020-08-10,25.31265,2020-08-25,27.3863,2.0736500000000007,0.0819214898479614
133,6,TRX,2020-09-01,40.72035,2020-09-14,35.982,-4.738350000000004,-0.1163631943242139
134,7,TRX,2020-11-18,29.71485,2020-12-08,30.48475,0.7699000000000034,0.0259096041204987
135,0,SC,2020-01-15,1.950975,2020-02-20,3.47826,1.5272850000000002,0.7828316610925308
136,1,SC,2020-04-06,1.7708849999999998,2020-04-21,1.5992000000000002,-0.1716849999999996,-0.0969487007908473
137,2,SC,2020-04-26,2.171085,2020-05-12,2.328835,0.1577500000000005,0.0726595227731758
138,3,SC,2020-05-25,2.951475,2020-06-09,3.1984000000000004,0.2469250000000005,0.0836615590509831
139,4,SC,2020-06-13,3.811905,2020-06-19,4.55772,0.7458149999999999,0.1956541414332203
140,5,SC,2020-08-10,4.18209,2020-09-03,4.197900000000001,0.0158100000000009,0.0037804064474941
141,6,SC,2020-10-10,3.671835,2020-11-07,2.8285850000000003,-0.8432499999999994,-0.2296535655877781
142,7,SC,2020-11-21,3.311655,2020-12-23,3.2383800000000003,-0.0732749999999997,-0.0221263990361314
143,0,ONT,2020-01-14,750.375,2020-02-15,1119.44,369.06500000000005,0.49184074629352
144,1,ONT,2020-04-24,548.274,2020-05-07,576.7115,28.4375,0.0518673145179235
145,2,ONT,2020-05-22,627.3135,2020-05-25,598.7005,-28.612999999999943,-0.0456119627586524
146,3,ONT,2020-06-22,774.387,2020-07-25,843.5780000000001,69.19100000000014,0.0893493821564671
147,4,ONT,2020-08-09,944.472,2020-08-20,1009.495,65.02300000000002,0.0688458736733328
148,5,ONT,2020-11-21,633.3165,2020-12-08,549.725,-83.5915,-0.1319900871049467
149,0,ZIL,2020-01-17,6.023009999999999,2020-02-20,8.955520000000002,2.9325100000000024,0.4868844647443724
150,1,ZIL,2020-04-05,5.272634999999999,2020-04-13,5.03748,-0.2351549999999989,-0.04459914255396
151,2,ZIL,2020-04-25,5.802899999999999,2020-05-21,11.994,6.1911000000000005,1.066897585689914
152,3,ZIL,2020-05-25,15.107549999999998,2020-06-17,28.3858,13.278250000000002,0.8789148472121557
153,4,ZIL,2020-11-06,23.0115,2020-12-09,33.88305,10.87155,0.4724398670230102
