,kimp,revp,winrate,won_total
170,2.1000000000000005,0.9999999999999996,0.7,123614676.49590677
171,2.1000000000000005,1.0999999999999996,0.6470588235294118,123551549.59876356
172,2.1000000000000005,1.1999999999999993,0.6923076923076923,127945914.7312423
173,2.1000000000000005,1.2999999999999994,0.6590909090909091,129071205.95442736
174,2.1000000000000005,1.3999999999999995,0.6792452830188679,132797772.5020751
175,2.2000000000000006,-1.0,0.6666666666666666,106716734.14801055
176,2.2000000000000006,-0.9,0.8333333333333334,107988328.2830791
177,2.2000000000000006,-0.8,0.8333333333333334,107829323.52213025
178,2.2000000000000006,-0.7000000000000001,0.8333333333333334,107902642.89119652
179,2.2000000000000006,-0.6000000000000001,0.8571428571428571,109723138.70664786
180,2.2000000000000006,-0.5000000000000001,0.8571428571428571,109427258.59736395
181,2.2000000000000006,-0.40000000000000013,0.7142857142857143,110565273.42240623
182,2.2000000000000006,-0.30000000000000016,0.75,110077504.48223566
183,2.2000000000000006,-0.20000000000000018,0.6,109842709.55423658
184,2.2000000000000006,-0.1000000000000002,0.7272727272727273,109866579.36963901
185,2.2000000000000006,-2.220446049250313e-16,0.75,110803826.88246939
186,2.2000000000000006,0.09999999999999964,0.75,110129403.50509751
187,2.2000000000000006,0.19999999999999973,0.7692307692307693,114241070.61080652
188,2.2000000000000006,0.2999999999999998,0.7857142857142857,114730861.49558638
189,2.2000000000000006,0.3999999999999997,0.8,113064766.26509508
190,2.2000000000000006,0.49999999999999956,0.7058823529411765,111968324.15177894
191,2.2000000000000006,0.5999999999999996,0.7368421052631579,113227488.5908653
192,2.2000000000000006,0.6999999999999997,0.631578947368421,115926063.67858493
193,2.2000000000000006,0.7999999999999996,0.6842105263157895,117121413.25621572
194,2.2000000000000006,0.8999999999999995,0.6666666666666666,118918010.34310392
195,2.2000000000000006,0.9999999999999996,0.6923076923076923,119474693.6957742
196,2.2000000000000006,1.0999999999999996,0.6551724137931034,119543248.34123892
197,2.2000000000000006,1.1999999999999993,0.6764705882352942,123581355.42036718
198,2.2000000000000006,1.2999999999999994,0.6842105263157895,125622187.3992449
199,2.2000000000000006,1.3999999999999995,0.6666666666666666,126724820.91456394
200,2.3000000000000007,-1.0,0.6666666666666666,106981720.83318359
201,2.3000000000000007,-0.9,0.8333333333333334,108110866.69617745
202,2.3000000000000007,-0.8,0.8333333333333334,107949033.73106347
203,2.3000000000000007,-0.7000000000000001,0.8333333333333334,108011933.42235887
204,2.3000000000000007,-0.6000000000000001,0.8571428571428571,109829187.72574751
205,2.3000000000000007,-0.5000000000000001,0.8571428571428571,109529126.72860812
206,2.3000000000000007,-0.40000000000000013,0.7142857142857143,110628578.9535025
207,2.3000000000000007,-0.30000000000000016,0.75,110212911.35091776
208,2.3000000000000007,-0.20000000000000018,0.6,110084758.76958382
209,2.3000000000000007,-0.1000000000000002,0.7272727272727273,110094042.15029666
210,2.3000000000000007,-2.220446049250313e-16,0.75,110562456.16001628
211,2.3000000000000007,0.09999999999999964,0.6666666666666666,109827077.96554026
212,2.3000000000000007,0.19999999999999973,0.7692307692307693,113601420.80347571
213,2.3000000000000007,0.2999999999999998,0.7142857142857143,114083016.81401804
214,2.3000000000000007,0.3999999999999997,0.7333333333333333,112639701.2410448
215,2.3000000000000007,0.49999999999999956,0.7058823529411765,111687558.6896408
216,2.3000000000000007,0.5999999999999996,0.6842105263157895,112937814.82988666
217,2.3000000000000007,0.6999999999999997,0.631578947368421,115401110.42947218
218,2.3000000000000007,0.7999999999999996,0.6842105263157895,116451036.38068095
219,2.3000000000000007,0.8999999999999995,0.6666666666666666,117807506.23562221
